revolution,category,n_holding,share_holding,n_primary,share_primary,level
English Revolution,Politics,1942,0.48105028486499873,1534,0.37998513747832546,sector
English Revolution,Administration & Law,525,0.13004706465196927,303,0.07505573445627942,sector
English Revolution,Military,373,0.09239534307654199,188,0.04656923458013376,sector
English Revolution,Religion,760,0.1882586078771365,514,0.12732226901164231,sector
English Revolution,Nobility,734,0.18181818181818182,289,0.0715878127322269,sector
English Revolution,Kinship,411,0.10180827347039881,144,0.03567005201882586,sector
English Revolution,Big business,149,0.03690859549170176,45,0.011146891255883081,sector
English Revolution,Small business,252,0.06242259103294526,97,0.02402774337379242,sector
English Revolution,Academia,545,0.13500123854347287,390,0.09660639088432003,sector
English Revolution,Exploration & Invention,106,0.026257121624969036,57,0.014119395590785237,sector
English Revolution,Culture (core),584,0.14466187763190488,434,0.10750557344562794,sector
English Revolution,Culture (periphery),73,0.01808273470398811,39,0.009660639088432003,sector
English Revolution,Sport & Games,6,0.0014862521674510775,3,0.0007431260837255387,sector
English Revolution,Politics,1942,0.48105028486499873,1534,0.37998513747832546,group
English Revolution,Administration & Law,525,0.13004706465196927,303,0.07505573445627942,group
English Revolution,Military,373,0.09239534307654199,188,0.04656923458013376,group
English Revolution,Business,386,0.09561555610601932,142,0.0351746346296755,group
English Revolution,Nobility & Kinship,1029,0.2548922467178598,433,0.10725786475105276,group
English Revolution,Religion,760,0.1882586078771365,514,0.12732226901164231,group
English Revolution,Learning & Culture,1199,0.2970027247956403,920,0.2278919990091652,group
Glorious Revolution,Politics,1514,0.48432501599488165,1202,0.38451695457453616,sector
Glorious Revolution,Administration & Law,373,0.11932181701855406,219,0.07005758157389635,sector
Glorious Revolution,Military,283,0.09053103007037748,149,0.04766474728087012,sector
Glorious Revolution,Religion,515,0.16474728087012155,358,0.1145233525271913,sector
Glorious Revolution,Nobility,477,0.15259117082533588,205,0.06557901471529111,sector
Glorious Revolution,Kinship,333,0.10652591170825336,93,0.029750479846449136,sector
Glorious Revolution,Big business,158,0.05054382597568778,64,0.020473448496481125,sector
Glorious Revolution,Small business,204,0.06525911708253358,98,0.03134996801023673,sector
Glorious Revolution,Academia,450,0.14395393474088292,307,0.09820857325655791,sector
Glorious Revolution,Exploration & Invention,75,0.02399232245681382,39,0.012476007677543186,sector
Glorious Revolution,Culture (core),483,0.15451055662188098,344,0.11004478566858605,sector
Glorious Revolution,Culture (periphery),89,0.028470889315419065,46,0.01471529110684581,sector
Glorious Revolution,Sport & Games,9,0.0028790786948176585,2,0.0006397952655150352,sector
Glorious Revolution,Politics,1514,0.48432501599488165,1202,0.38451695457453616,group
Glorious Revolution,Administration & Law,373,0.11932181701855406,219,0.07005758157389635,group
Glorious Revolution,Military,283,0.09053103007037748,149,0.04766474728087012,group
Glorious Revolution,Business,346,0.11068458093410109,162,0.05182341650671785,group
